Transaction_ID,Date,Customer_ID,Customer_Age,Gender,Region,Product_Category,Units_Sold,Marketing_Spend,Revenue,Discount_Percent,Customer_Satisfaction,Profit
TXN10000,2023-06-25,1352,47.0,Other,South,Retail,14,6007.0,37876,11,8.0,27702.64
TXN10001,2024-06-21,1437,28.0,Male,West,Retail,7,3695.0,27896,36,2.0,14158.44
TXN10002,2024-05-17,1487,27.0,Female,West,Electronics,13,6631.0,41339,5,4.0,32641.05
TXN10003,2023-07-31,1118,49.0,male,West,Retail,12,9704.0,31008,22,3.0,14482.24
TXN10004,2025-07-08,1461,56.0,,East,Retail,6,850.0,9737,1,1.0,8789.63
TXN10005,2024-06-19,1391,64.0,Female,,Finance,17,858.0,8250,32,6.0,4752.0
TXN10006,2023-12-12,1026,43.0,Female,East,Retail,18,4573.0,37911,16,4.0,27272.24
TXN10007,2024-01-02,1059,57.0,Female,West,Healthcare,3,8965.0,36639,22,2.0,19613.42
TXN10008,2024-07-08,1302,25.0,Other,East,Retail,16,2548.0,8733,13,,5049.71
TXN10009,2024-12-31,1445,28.0,Other,West,Healthcare,4,2513.0,23068,20,9.0,15941.4
TXN10010,2025-06-23,1216,35.0,Male,East,Software,15,7339.0,19788,26,10.0,7304.12
TXN10011,2026-04-06,1219,35.0,Female,West,Healthcare,3,1478.0,26962,5,8.0,24135.9
TXN10012,2025-12-28,1304,34.0,Female,West,Finance,15,2392.0,24139,37,6.0,12815.57
TXN10013,2024-01-27,1017,30.0,Female,North,Electronics,17,2247.0,23860,39,9.0,12307.6
TXN10014,2025-07-29,1413,51.0,Other,North,Software,18,4103.0,16465,21,2.0,8904.35
TXN10015,2026-01-04,1413,31.0,,East,Electronics,16,3796.0,19840,3,4.0,15448.8
TXN10016,2025-04-03,1405,40.0,Other,West,Electronics,15,1907.0,23978,9,7.0,19912.98
TXN10017,2023-09-08,1075,57.0,Female,West,Finance,17,3671.0,12299,26,7.0,5430.26
TXN10018,2025-10-27,1226,18.0,Female,North,Electronics,10,3221.0,22246,12,1.0,16355.48
TXN10019,2025-12-04,1055,40.0,Male,West,Retail,10,1809.0,49470,17,8.0,39251.1
TXN10020,2026-03-22,1303,63.0,Male,East,Healthcare,19,533.0,27276,9,9.0,24288.16
TXN10021,2023-07-03,1198,19.0,Male,North,Retail,10,,47848,15,10.0,37036.8
TXN10022,2025-08-07,1325,62.0,Other,West,Healthcare,17,3102.0,45201,4,8.0,40290.96
TXN10023,2026-02-10,1073,19.0,Female,East,Retail,8,,8607,9,2.0,6698.37
TXN10024,2025-02-02,1120,66.0,Female,West,Software,19,7751.0,19285,30,10.0,5748.5
TXN10025,2023-10-18,1266,44.0,Female,East,Software,10,1810.0,31511,30,6.0,20247.7
TXN10026,2023-11-09,1077,59.0,Female,East,Finance,9,8362.0,24107,19,9.0,11164.67
TXN10027,2023-07-21,1310,,Female,West,Electronics,9,2792.0,3220,27,6.0,-441.4
TXN10028,2024-07-04,1254,62.0,Other,North,electronics,13,7983.0,7793,35,9.0,-2917.55
TXN10029,2025-02-11,1321,66.0,Male,,Software,3,3705.0,26164,4,10.0,21412.44
TXN10030,2024-05-09,1163,21.0,Male,South,Healthcare,15,5444.0,11384,2,9.0,5712.32
TXN10031,2026-03-07,1133,30.0,Other,North,electronics,19,2474.0,43408,8,8.0,37461.36
TXN10032,2026-01-01,1132,25.0,Other,North,Healthcare,12,6539.0,45080,21,7.0,29074.2
TXN10033,2025-08-02,1139,,Male,North,Electronics,2,934.0,29427,13,3.0,24667.49
TXN10034,2023-09-15,1318,65.0,Male,West,Healthcare,17,1852.0,49787,10,2.0,42956.3
TXN10035,2024-02-05,1050,49.0,Male,West,Finance,17,292.0,37047,16,5.0,30827.48
TXN10036,2025-07-29,1048,57.0,Female,East,Healthcare,16,,38318,26,2.0,20926.32
TXN10037,2024-08-27,1274,25.0,Other,East,Healthcare,9,6962.0,29837,5,10.0,21383.15
TXN10038,2025-02-03,1137,19.0,Female,West,Electronics,13,7429.0,45523,10,3.0,33541.7
TXN10039,2023-10-07,1132,43.0,Female,East,Retail,17,7020.0,34042,21,10.0,19873.18
TXN10040,2025-01-15,1027,31.0,Male,North,Electronics,3,9893.0,31335,31,7.0,11728.15
TXN10041,2025-03-14,1189,18.0,Male,West,Finance,19,9668.0,20457,3,9.0,10175.29
TXN10042,2026-03-21,1432,46.0,Female,West,Software,12,7371.0,21282,35,5.0,6462.3
TXN10043,2023-04-03,1153,69.0,Male,South,Retail,3,,44012,5,8.0,40657.4
TXN10044,2025-01-29,1130,23.0,Male,West,Retail,1,6945.0,25689,36,8.0,9495.96
TXN10045,2023-12-23,1359,57.0,Other,,Finance,19,5999.0,48083,9,2.0,37756.53
TXN10046,2025-07-20,1297,42.0,Female,South,Finance,19,4940.0,16158,20,,7986.4
